name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
London,2023-11-06,13.3,7.6,9.9,13.3,5.2,8.6,6.4,79.5,0.993,100,4.17,rain,0,0,33.9,24.2,238.1,998.4,30,19.4,43.8,3.7,3,10,2023-11-06T07:02:16,2023-11-06T16:25:18,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,remote,03772099999,03770099999"
London,2023-11-07,12.5,6,8.6,12.5,3.7,7.1,6.1,84.5,0,0,0,,0,0,33,22.3,244,1008.2,20.6,20,46.5,4,3,10,2023-11-07T07:04:02,2023-11-07T16:23:38,0.81,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
London,2023-11-08,13.1,6.6,9.5,13.1,4.4,8.7,8.1,90.8,0.04,100,50,rain,0,0,56.2,28.4,218.6,1004.6,70.5,11.9,14.5,1.1,1,10,2023-11-08T07:05:48,2023-11-08T16:22:01,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,F6665,03772099999,03770099999"
London,2023-11-09,11.1,5.8,8.2,11.1,3.4,6.5,5.6,83.9,4.973,100,25,rain,0,0,29.4,23.6,221.9,996.9,57.9,17.4,34.4,3,3,10,2023-11-09T07:07:33,2023-11-09T16:20:25,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
London,2023-11-10,9.5,4.6,7.5,8.6,1.5,5.4,4.9,83.7,0.013,100,20.83,rain,0,0,33,17.9,270.4,996.3,56.5,18.4,21.8,2,1,10,2023-11-10T07:09:19,2023-11-10T16:18:51,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
London,2023-11-11,11.1,3.1,5.8,11.1,0.7,4.6,3.8,87.9,0.596,100,4.17,rain,0,0,20.9,14.1,281.1,1006.7,14.2,18.6,41,3.6,3,10,2023-11-11T07:11:04,2023-11-11T16:17:19,0.94,Rain,Clear conditions throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
London,2023-11-12,10.1,5.1,8,10.1,3.3,6.9,6.5,90.2,0.203,100,20.83,rain,0,0,22.7,13.3,125.8,1003.5,82.4,14.3,19.2,1.7,1,10,2023-11-12T07:12:49,2023-11-12T16:15:49,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
London,2023-11-13,15.5,9.7,12.5,15.5,7.9,12.3,9,80.3,16.975,100,45.83,rain,0,0,62.1,38.6,236,998.6,80.4,11,23,1.9,1,10,2023-11-13T07:14:33,2023-11-13T16:14:21,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
London,2023-11-14,12.6,9.3,10.8,12.6,6.8,10.1,8.7,86.7,10.21,100,29.17,rain,0,0,42,27.9,244.7,1004.4,51.4,13,10,0.9,0,10,2023-11-14T07:16:17,2023-11-14T16:12:56,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,remote,03772099999,03770099999"
London,2023-11-15,12,5.5,9,12,4.1,7.2,6,82.5,0.198,100,4.17,rain,0,0,43.6,31.9,257.7,1016,22.1,17.5,35.3,3.2,2,10,2023-11-15T07:18:01,2023-11-15T16:11:33,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,F6665,03772099999,03770099999"
